"","colSums(themes)"
"children",6031
"civil.conflict",269
"civil.so",1604
"corruption",216
"culture",708
"death.pen",1518
"disabilities",1440
"disappearances",877
"discrimination",4926
"domest.movement",111
"education",3157
"elderly",113
"environment",318
"ethnic",1938
"extra.judicial",158
"food",257
"foreign.movement",33
"governance",204
"health",1574
"hiv",244
"impunity",715
"indigenous",652
"infrastructure",485
"intelligence",17
"judiciary",1807
"labor",2466
"land",18
"lgbt",827
"migrants",2350
"military",525
"paramilitary",17
"pol.imprisonment",59
"police",1123
"poor",86
"post.conflict",849
"poverty",1388
"prisoners",1806
"privacy",31
"property",166
"race",1111
"religion",937
"reproductive",214
"self.determ",579
"sex.violence",2914
"socialism",5
"speech",1756
"terrorism",191
"torture",2258
"trafficking",1533
"women",7840
"women.economic",690
"women.political",406
"women.social",104
