country,year
afghanistan,2009
afghanistan,2014
albania,2010
albania,2014
algeria,2008
algeria,2012
andorra,2011
angola,2010
angola,2014
antiguaandbarbuda,2011
argentina,2008
argentina,2012
armenia,2010
australia,2011
austria,2011
azerbaijan,2009
azerbaijan,2013
bahamas,2009
bahamas,2013
bahrain,2008
bahrain,2012
bangladesh,2009
bangladesh,2013
barbados,2009
barbados,2013
belarus,2010
belgium,2011
belize,2009
belize,2013
benin,2008
benin,2012
bhutan,2010
bhutan,2014
bolivia,2010
bolivia,2014
bosniaandherzegovina,2010
bosniaandherzegovina,2014
botswana,2009
botswana,2013
brazil,2008
brazil,2012
bruneidarussalam,2010
bruneidarussalam,2014
bulgaria,2011
burkinafaso,2009
burkinafaso,2013
burundi,2009
burundi,2013
cambodia,2010
cambodia,2014
cameroon,2009
cameroon,2013
canada,2009
canada,2013
capeverde,2009
capeverde,2013
centralafricanrepublic,2009
centralafricanrepublic,2013
chad,2009
chad,2013
chile,2009
chile,2014
china,2009
china,2013
colombia,2009
colombia,2013
comoros,2009
comoros,2014
congo,2009
congo,2013
costarica,2010
costarica,2014
cotedivoire,2010
cotedivoire,2014
croatia,2011
cuba,2009
cuba,2013
cyprus,2010
cyprus,2014
czechrepublic,2008
czechrepublic,2012
democraticpeoplesrepublicofkorea,2010
democraticpeoplesrepublicofkorea,2014
democraticrepublicofthecongo,2010
democraticrepublicofthecongo,2014
denmark,2011
djibouti,2009
djibouti,2013
dominica,2010
dominica,2014
dominicanrepublic,2010
dominicanrepublic,2014
ecuador,2008
ecuador,2012
egypt,2010
egypt,2014
elsalvador,2010
elsalvador,2014
equatorialguinea,2010
eritrea,2010
eritrea,2014
estonia,2011
ethiopia,2010
ethiopia,2014
fiji,2010
fiji,2014
finland,2008
finland,2012
france,2008
france,2013
gabon,2008
gabon,2012
gambia,2010
gambia,2014
georgia,2011
germany,2009
germany,2013
ghana,2008
ghana,2012
greece,2011
grenada,2010
guatemala,2008
guatemala,2012
guinea-bissau,2010
guinea,2010
guinea,2014
guyana,2010
haiti,2011
honduras,2011
hungary,2011
iceland,2011
india,2008
india,2012
indonesia,2008
indonesia,2012
iran,2010
iran,2014
iraq,2010
iraq,2014
ireland,2011
israel,2009
israel,2013
italy,2010
italy,2014
jamaica,2011
japan,2008
japan,2012
jordan,2009
jordan,2013
kazakhstan,2010
kazakhstan,2014
kenya,2010
kiribati,2010
korea,2008
kuwait,2010
kyrgysztan,2010
laopeoplesdemocraticrepublic,2010
latvia,2011
lebanon,2011
lesotho,2010
liberia,2011
libya,2011
liechtenstein,2009
liechtenstein,2013
lithuania,2011
luxembourg,2009
luxembourg,2013
macedonia,2009
Macedonia,2014
madagascar,2010
madagascar,2014
malawi,2011
malaysia,2009
malaysia,2013
maldives,2011
mali,2008
mali,2013
malta,2009
malta,2013
marshallislands,2011
mauritania,2011
mauritius,2009
mauritius,2013
mexico,2009
mexico,2013
micronesia,2011
moldova,2011
monaco,2009
monaco,2013
mongolia,2011
montenegro,2009
montenegro,2013
morocco,2008
morocco,2012
mozambique,2011
myanmar,2011
namibia,2011
nauru,2011
nepal,2011
netherlands,2008
netherlands,2012
newzealand,2009
newzealand,2014
nicaragua,2010
nicaragua,2014
niger,2011
nigeria,2009
nigeria,2013
norway,2010
norway,2014
oman,2011
pakistan,2008
pakistan,2012
palau,2011
panama,2011
papuanewguinea,2011
paraguay,2011
peru,2008
peru,2012
philippines,2008
philippines,2012
poland,2008
poland,2012
portugal,2010
portugal,2014
qatar,2010
qatar,2014
republicofkorea,2012
romania,2008
romania,2013
russia,2009
russia,2013
rwanda,2011
saintkittsandnevis,2011
saintlucia,2011
saintvincentandthegrenadines,2011
samoa,2011
sanmarino,2010
sanmarino,2014
saotomeandprincipe,2011
saudiarabia,2009
saudiarabia,2013
senegal,2009
senegal,2013
serbia,2009
serbia,2013
seychelles,2011
sierraleone,2011
singapore,2011
slovakia,2009
slovakia,2014
slovenia,2010
slovenia,2014
solomonislands,2011
somalia,2011
southafrica,2008
southafrica,2012
spain,2010
srilanka,2008
srilanka,2012
sudan,2011
suriname,2011
swaziland,2011
sweden,2010
switzerland,2008
switzerland,2012
syria,2011
tajikistan,2011
tanzania,2011
thailand,2011
timorleste,2011
togo,2011
tonga,2008
tonga,2013
trinidadandtobago,2011
tunisia,2008
tunisia,2012
turkey,2010
turkmenistan,2009
turkmenistan,2013
tuvalu,2009
tuvalu,2013
uganda,2011
ukraine,2008
ukraine,2012
unitedarabemirates,2009
unitedarabemirates,2013
unitedkingdom,2008
unitedkingdom,2012
unitedstatesofamerica,2011
uruguay,2009
uruguay,2014
uzbekistan,2009
uzbekistan,2013
vanuatu,2009
vanuatu,2014
venezuela,2011
vietnam,2009
vietnam,2014
yemen,2009
yemen,2014
zambia,2008
zambia,2012
zimbabwe,2011
